range qualification: PASS g1c_sites=7 thin_memo_success_sites=2 instruction_overlap=0
probe_sha256=1d3fa0eebb4de19ff003ace38721d80d71bd94653f8ea3801c0f29ca9581f9b8
bands=sub1us,1to2p5,2p5to20
rows sorted by aggregate dynamic count
pc target=atom_closure address=0x10007062c offset=22840 total=   8 sub1us=0 1to2p5=4 2p5to20=4 | ldr x8, [x20]
pc target=atom_closure address=0x10007c144 offset=70736 total=   8 sub1us=2 1to2p5=0 2p5to20=6 | ldr x8, [x20, #0x28]
pc target=atom_closure address=0x10007c158 offset=70756 total=   8 sub1us=3 1to2p5=2 2p5to20=3 | ldr x8, [x20, #0x258]
pc target=piece        address=0x100058dbc offset=  156 total=   8 sub1us=0 1to2p5=1 2p5to20=7 | ldr x8, [x20, #0x10]
pc target=piece        address=0x1000591b0 offset= 1168 total=   8 sub1us=2 1to2p5=6 2p5to20=0 | ldr x8, [x20, #0x20]
pc target=piece        address=0x10005c500 offset=14304 total=   8 sub1us=2 1to2p5=3 2p5to20=3 | ldr x23, [x20, #0x28]
pc target=piece        address=0x10005c6c8 offset=14760 total=   8 sub1us=2 1to2p5=2 2p5to20=4 | ldr x9, [x20, #0xf0]
pc target=piece        address=0x10005c7b4 offset=14996 total=   8 sub1us=4 1to2p5=1 2p5to20=3 | ldr x8, [x20, #0x2f8]
pc target=piece        address=0x10005cbdc offset=16060 total=   8 sub1us=3 1to2p5=3 2p5to20=2 | ldr x9, [x20, #0x10]
pc target=piece        address=0x10005ee20 offset=24832 total=   8 sub1us=1 1to2p5=2 2p5to20=5 | ldr x23, [x20, #0x2a0]
pc target=atom_closure address=0x10006c43c offset= 5960 total=   7 sub1us=2 1to2p5=2 2p5to20=3 | ldr x8, [x20, #0x2f8]
pc target=atom_closure address=0x10006efe0 offset=17132 total=   7 sub1us=1 1to2p5=3 2p5to20=3 | ldrb w8, [x20, #0x504]
pc target=atom_closure address=0x10006f540 offset=18508 total=   7 sub1us=4 1to2p5=1 2p5to20=2 | ldr x8, [x20, #0x2f8]
pc target=atom_closure address=0x100070534 offset=22592 total=   7 sub1us=0 1to2p5=0 2p5to20=7 | ldr x8, [x20, #0x490]
pc target=atom_closure address=0x1000706ac offset=22968 total=   7 sub1us=0 1to2p5=2 2p5to20=5 | ldrb w8, [x20, #0x504]
pc target=piece        address=0x1000591e8 offset= 1224 total=   7 sub1us=3 1to2p5=1 2p5to20=3 | ldr x8, [x20, #0x280]
pc target=piece        address=0x100059210 offset= 1264 total=   7 sub1us=2 1to2p5=2 2p5to20=3 | ldr x8, [x20, #0xd8]
pc target=piece        address=0x10005bfa0 offset=12928 total=   7 sub1us=4 1to2p5=1 2p5to20=2 | ldr x12, [x20, #0x178]
pc target=piece        address=0x10005c8c4 offset=15268 total=   7 sub1us=6 1to2p5=1 2p5to20=0 | ldr x8, [x20, #0x270]
pc target=atom_closure address=0x10006b774 offset= 2688 total=   6 sub1us=0 1to2p5=1 2p5to20=5 | ldr x8, [x20, #0x498]
pc target=atom_closure address=0x100071848 offset=27476 total=   6 sub1us=2 1to2p5=2 2p5to20=2 | ldr x8, [x20, #0x258]
pc target=atom_closure address=0x100071f0c offset=29208 total=   6 sub1us=0 1to2p5=4 2p5to20=2 | ldr x8, [x20, #0x10]
pc target=atom_closure address=0x1000742f8 offset=38404 total=   6 sub1us=3 1to2p5=1 2p5to20=2 | ldrb w8, [x20, #0x504]
pc target=atom_closure address=0x10007a168 offset=62580 total=   6 sub1us=1 1to2p5=3 2p5to20=2 | ldr x9, [x20, #0x60]
pc target=piece        address=0x100059214 offset= 1268 total=   6 sub1us=1 1to2p5=2 2p5to20=3 | ldr x9, [x20, #0xf0]
pc target=piece        address=0x10005c560 offset=14400 total=   6 sub1us=1 1to2p5=0 2p5to20=5 | ldr x8, [x20, #0x28]
pc target=piece        address=0x10005c658 offset=14648 total=   6 sub1us=3 1to2p5=2 2p5to20=1 | str x28, [x20, #0x288]
pc target=piece        address=0x10005c7e8 offset=15048 total=   6 sub1us=0 1to2p5=2 2p5to20=4 | ldr x8, [x20, #0x4e0]
pc target=piece        address=0x10005d740 offset=18976 total=   6 sub1us=2 1to2p5=1 2p5to20=3 | ldrb w8, [x20, #0x504]
pc target=atom_closure address=0x100070020 offset=21292 total=   5 sub1us=1 1to2p5=1 2p5to20=3 | ldr x8, [x20, #0x28]
pc target=atom_closure address=0x100070d88 offset=24724 total=   5 sub1us=1 1to2p5=2 2p5to20=2 | ldr x8, [x20, #0x28]
pc target=atom_closure address=0x1000715ec offset=26872 total=   5 sub1us=1 1to2p5=1 2p5to20=3 | ldr x8, [x20, #0x258]
pc target=atom_closure address=0x100071790 offset=27292 total=   5 sub1us=2 1to2p5=2 2p5to20=1 | ldr x1, [x20, #0x2f8]
pc target=atom_closure address=0x10007a024 offset=62256 total=   5 sub1us=1 1to2p5=2 2p5to20=2 | ldr x11, [x20, #0x120]
pc target=atom_closure address=0x10007a164 offset=62576 total=   5 sub1us=1 1to2p5=1 2p5to20=3 | ldr x8, [x20, #0x10]
pc target=atom_closure address=0x10007a6a8 offset=63924 total=   5 sub1us=1 1to2p5=4 2p5to20=0 | ldr x8, [x20, #0x28]
pc target=atom_closure address=0x10007a734 offset=64064 total=   5 sub1us=0 1to2p5=0 2p5to20=5 | ldr x9, [x20, #0x2f8]
pc target=atom_closure address=0x10007b4cc offset=67544 total=   5 sub1us=4 1to2p5=0 2p5to20=1 | ldr x8, [x20, #0x28]
pc target=piece        address=0x1000591cc offset= 1196 total=   5 sub1us=1 1to2p5=2 2p5to20=2 | str x8, [x20, #0x28]
pc target=piece        address=0x1000591d0 offset= 1200 total=   5 sub1us=2 1to2p5=1 2p5to20=2 | ldr x19, [x20, #0x498]
pc target=piece        address=0x1000591d4 offset= 1204 total=   5 sub1us=1 1to2p5=2 2p5to20=2 | ldr x25, [x20, #0x288]
pc target=piece        address=0x100059208 offset= 1256 total=   5 sub1us=4 1to2p5=0 2p5to20=1 | str x9, [x20, #0x288]
pc target=piece        address=0x10005921c offset= 1276 total=   5 sub1us=2 1to2p5=1 2p5to20=2 | ldr x10, [x20, #0x108]
pc target=piece        address=0x100059864 offset= 2884 total=   5 sub1us=2 1to2p5=0 2p5to20=3 | ldr x8, [x20, #0x288]
pc target=piece        address=0x1000598cc offset= 2988 total=   5 sub1us=3 1to2p5=0 2p5to20=2 | ldrb w8, [x20, #0x504]
pc target=piece        address=0x10005a618 offset= 6392 total=   5 sub1us=3 1to2p5=2 2p5to20=0 | ldr x8, [x20, #0x270]
pc target=piece        address=0x10005ca88 offset=15720 total=   5 sub1us=4 1to2p5=1 2p5to20=0 | ldr x8, [x20, #0x2a0]
pc target=piece        address=0x10005dbfc offset=20188 total=   5 sub1us=1 1to2p5=3 2p5to20=1 | ldr x28, [x20, #0x288]
pc target=atom_closure address=0x10006ad54 offset=   96 total=   4 sub1us=0 1to2p5=2 2p5to20=2 | str x9, [x20, #0x288]
pc target=atom_closure address=0x10006ad70 offset=  124 total=   4 sub1us=1 1to2p5=1 2p5to20=2 | ldr x9, [x20, #0xf0]
pc target=atom_closure address=0x10006ad90 offset=  156 total=   4 sub1us=4 1to2p5=0 2p5to20=0 | ldr x28, [x20, #0x258]
pc target=atom_closure address=0x10006de68 offset=12660 total=   4 sub1us=3 1to2p5=0 2p5to20=1 | ldr x8, [x20, #0x288]
pc target=atom_closure address=0x10006e170 offset=13436 total=   4 sub1us=3 1to2p5=0 2p5to20=1 | ldr x8, [x20, #0x10]
pc target=atom_closure address=0x10006eec4 offset=16848 total=   4 sub1us=0 1to2p5=2 2p5to20=2 | ldr x8, [x20, #0x4e0]
pc target=atom_closure address=0x10006f3a4 offset=18096 total=   4 sub1us=1 1to2p5=1 2p5to20=2 | ldr x8, [x20, #0x288]
pc target=atom_closure address=0x100071824 offset=27440 total=   4 sub1us=0 1to2p5=2 2p5to20=2 | ldr x8, [x20, #0x28]
pc target=atom_closure address=0x100073dec offset=37112 total=   4 sub1us=0 1to2p5=2 2p5to20=2 | ldrb w8, [x20, #0x504]
pc target=atom_closure address=0x10007a488 offset=63380 total=   4 sub1us=1 1to2p5=1 2p5to20=2 | ldr x19, [x20, #0x10]
pc target=atom_closure address=0x10007abb0 offset=65212 total=   4 sub1us=1 1to2p5=0 2p5to20=3 | ldr x10, [x20, #0x2f8]
pc target=atom_closure address=0x10007adf4 offset=65792 total=   4 sub1us=1 1to2p5=0 2p5to20=3 | ldr x9, [x20, #0x60]
pc target=atom_closure address=0x10007c398 offset=71332 total=   4 sub1us=0 1to2p5=2 2p5to20=2 | ldr x8, [x20, #0x2a0]
pc target=atom_closure address=0x10007c570 offset=71804 total=   4 sub1us=2 1to2p5=2 2p5to20=0 | ldr x8, [x20, #0x258]
pc target=atom_closure address=0x10007c5c0 offset=71884 total=   4 sub1us=0 1to2p5=1 2p5to20=3 | ldrb w8, [x20, #0x504]
pc target=piece        address=0x1000599a0 offset= 3200 total=   4 sub1us=1 1to2p5=2 2p5to20=1 | ldr x9, [x20, #0xf0]
pc target=piece        address=0x10005a7b8 offset= 6808 total=   4 sub1us=2 1to2p5=1 2p5to20=1 | ldr x9, [x20, #0x288]
pc target=piece        address=0x10005bb74 offset=11860 total=   4 sub1us=0 1to2p5=3 2p5to20=1 | ldrb w8, [x20, #0x504]
pc target=piece        address=0x10005bf74 offset=12884 total=   4 sub1us=2 1to2p5=0 2p5to20=2 | str x19, [x20, #0x498]
pc target=piece        address=0x10005bf9c offset=12924 total=   4 sub1us=0 1to2p5=1 2p5to20=3 | ldr x11, [x20, #0x198]
pc target=piece        address=0x10005c550 offset=14384 total=   4 sub1us=2 1to2p5=2 2p5to20=0 | ldr x8, [x20, #0x10]
pc target=piece        address=0x10005c65c offset=14652 total=   4 sub1us=0 1to2p5=1 2p5to20=3 | ldr x22, [x20, #0x498]
pc target=piece        address=0x10005eb70 offset=24144 total=   4 sub1us=0 1to2p5=2 2p5to20=2 | ldr x8, [x20, #0x258]
pc target=atom_closure address=0x10006ad78 offset=  132 total=   3 sub1us=1 1to2p5=2 2p5to20=0 | ldr x10, [x20, #0x108]
pc target=atom_closure address=0x10006ad8c offset=  152 total=   3 sub1us=0 1to2p5=3 2p5to20=0 | ldr x11, [x20, #0x120]
pc target=atom_closure address=0x10006e064 offset=13168 total=   3 sub1us=3 1to2p5=0 2p5to20=0 | ldr x24, [x20, #0x288]
pc target=atom_closure address=0x10006ede0 offset=16620 total=   3 sub1us=1 1to2p5=1 2p5to20=1 | ldr x8, [x20, #0xd8]
pc target=atom_closure address=0x10006f06c offset=17272 total=   3 sub1us=1 1to2p5=0 2p5to20=2 | ldrb w8, [x20, #0x504]
pc target=atom_closure address=0x10006f520 offset=18476 total=   3 sub1us=1 1to2p5=0 2p5to20=2 | ldr x8, [x20, #0x280]
pc target=atom_closure address=0x10006f710 offset=18972 total=   3 sub1us=0 1to2p5=3 2p5to20=0 | ldr x9, [x20, #0xf0]
pc target=atom_closure address=0x10006fc38 offset=20292 total=   3 sub1us=0 1to2p5=2 2p5to20=1 | ldr x2, [x20, #0x2f8]
pc target=atom_closure address=0x10006fffc offset=21256 total=   3 sub1us=1 1to2p5=1 2p5to20=1 | ldr x8, [x20, #0x10]
pc target=atom_closure address=0x100070d98 offset=24740 total=   3 sub1us=2 1to2p5=1 2p5to20=0 | ldr x8, [x20, #0x258]
pc target=atom_closure address=0x10007157c offset=26760 total=   3 sub1us=0 1to2p5=2 2p5to20=1 | ldr x8, [x20, #0x270]
pc target=atom_closure address=0x1000723b0 offset=30396 total=   3 sub1us=0 1to2p5=0 2p5to20=3 | ldrb w8, [x20, #0x504]
pc target=atom_closure address=0x100072a38 offset=32068 total=   3 sub1us=0 1to2p5=2 2p5to20=1 | ldr x19, [x20, #0x498]
pc target=atom_closure address=0x10007398c offset=35992 total=   3 sub1us=0 1to2p5=2 2p5to20=1 | ldr x9, [x20, #0x60]
pc target=atom_closure address=0x10007a0f8 offset=62468 total=   3 sub1us=1 1to2p5=2 2p5to20=0 | ldr x8, [x20, #0x28]
pc target=atom_closure address=0x10007a47c offset=63368 total=   3 sub1us=2 1to2p5=1 2p5to20=0 | ldr x9, [x20, #0x288]
pc target=atom_closure address=0x10007a5d4 offset=63712 total=   3 sub1us=1 1to2p5=2 2p5to20=0 | ldr x13, [x20, #0x178]
pc target=atom_closure address=0x10007a9d8 offset=64740 total=   3 sub1us=2 1to2p5=0 2p5to20=1 | ldr x8, [x20, #0x270]
pc target=atom_closure address=0x10007b01c offset=66344 total=   3 sub1us=1 1to2p5=0 2p5to20=2 | ldr x8, [x20, #0x10]
pc target=atom_closure address=0x10007b2fc offset=67080 total=   3 sub1us=0 1to2p5=1 2p5to20=2 | ldrb w8, [x20, #0x504]
