rule	status	fired_file_count	satisfiable_under
direct_method_call	GAP	0	sv_2017,sv_2023,verilog_2005
disable_statement	covered	86	sv_2017,sv_2023,verilog_2005
dist_item	covered	2	sv_2017,sv_2023
dist_item_sv_2017	covered	2	sv_2017
dist_item_sv_2023	na_profile	0	sv_2023
dist_list	covered	2	sv_2017,sv_2023
dist_weight	GAP	0	sv_2017,sv_2023,verilog_2005
dot	covered	2649	sv_2017,sv_2023,verilog_2005
dot_star	covered	77	sv_2017,sv_2023,verilog_2005
dpi_function_import_property	covered	31	sv_2017,sv_2023,verilog_2005
dpi_function_proto	covered	71	sv_2017,sv_2023
dpi_import_export	covered	93	sv_2017,sv_2023
dpi_spec_string	covered	93	sv_2017,sv_2023,verilog_2005
dpi_task_import_property	covered	2	sv_2017,sv_2023,verilog_2005
dpi_task_proto	covered	8	sv_2017,sv_2023
drive_strength	GAP	0	sv_2017,sv_2023,verilog_2005
dynamic_array_new	covered	59	sv_2017,sv_2023,verilog_2005
dynamic_array_variable_identifier	covered	150	sv_2017,sv_2023,verilog_2005
dynamic_override_specifiers	na_profile	0	sv_2023
dynamic_override_specifiers_sv_2023	na_profile	0	sv_2023
edge_control_specifier	covered	3	sv_2017,sv_2023,verilog_2005
edge_descriptor	GAP	0	sv_2017,sv_2023,verilog_2005
edge_identifier	covered	1234	sv_2017,sv_2023,verilog_2005
edge_indicator	covered	12	sv_2017,sv_2023,verilog_2005
edge_input_list	covered	12	sv_2017,sv_2023,verilog_2005
edge_sensitive_path_declaration	covered	22	sv_2017,sv_2023,verilog_2005
edge_symbol	covered	11	sv_2017,sv_2023,verilog_2005
elaboration_severity_system_task	na_profile	0	sv_2023
elaboration_severity_system_task_sv_2023	na_profile	0	sv_2023
elaboration_system_task	covered	17	sv_2017
elaboration_system_task_sv_2017	covered	17	sv_2017
empty_unpacked_array_concatenation	covered	7	sv_2017,sv_2023,verilog_2005
enable_gate_instance	GAP	0	sv_2017,sv_2023,verilog_2005
enable_gatetype	GAP	0	sv_2017,sv_2023,verilog_2005
enable_terminal	covered	21	sv_2017,sv_2023,verilog_2005
end_edge_offset	covered	2	sv_2017,sv_2023,verilog_2005
enum_base_type	covered	326	sv_2017,sv_2023,verilog_2005
enum_id_scope_prefix	covered	114	sv_2017,sv_2023
enum_identifier	covered	1986	sv_2017,sv_2023,verilog_2005
enum_name_declaration	covered	428	sv_2017,sv_2023,verilog_2005
equal	covered	1654	sv_2017,sv_2023,verilog_2005
error_limit_value	GAP	0	sv_2017,sv_2023,verilog_2005
escaped_identifier	covered	59	sv_2017,sv_2023,verilog_2005
