sub_corpus	tier	path	accepted	entries	committed	memo_hits	lr_entries	lr_committed
opentitan	lr	stimuli/sv/subs/opentitan/hw/top_earlgrey/ip/ast/rtl/ast_reg_top.sv	no	2203188	12	982682	65326	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/top_earlgrey/ip/sensor_ctrl/rtl/sensor_ctrl_reg_top.sv	no	2080575	12	930947	58624	0
opentitan	breadth	stimuli/sv/subs/opentitan/hw/top_earlgrey/ip_autogen/alert_handler/dv/env/seq_lib/alert_handler_base_vseq.sv	no	1190	13	441	0	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/top_earlgrey/ip_autogen/alert_handler/rtl/alert_handler_reg_pkg.sv	yes	1361847	58022	571867	43956	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/top_earlgrey/ip_autogen/alert_handler/rtl/alert_handler_reg_top.sv	no	15194191	12	6798657	433583	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/top_earlgrey/ip_autogen/clkmgr/rtl/clkmgr_reg_top.sv	no	2018617	12	904833	56331	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/top_earlgrey/ip_autogen/flash_ctrl/rtl/flash_ctrl_core_reg_top.sv	no	9334387	12	4175837	273116	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/top_earlgrey/ip_autogen/flash_ctrl/rtl/flash_ctrl_prim_reg_top.sv	no	1622648	12	725277	46116	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/top_earlgrey/ip_autogen/otp_ctrl/rtl/otp_ctrl_core_reg_top.sv	no	2264038	12	1002596	64550	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/top_earlgrey/ip_autogen/pinmux/rtl/pinmux_reg_pkg.sv	yes	3263388	123663	1369511	107930	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/top_earlgrey/ip_autogen/pinmux/rtl/pinmux_reg_top.sv	no	33325664	12	14893279	945035	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/top_earlgrey/ip_autogen/rv_core_ibex/rtl/rv_core_ibex_cfg_reg_top.sv	no	1366392	12	608039	38387	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/top_earlgrey/ip_autogen/rv_plic/rtl/rv_plic_reg_top.sv	no	12931913	12	5798022	379512	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/top_earlgrey/rtl/autogen/top_earlgrey.sv	yes	2861207	284433	1302093	76650	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/top_englishbreakfast/ip/ast/rtl/ast_reg_top.sv	no	2203188	12	982682	65326	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/top_englishbreakfast/ip_autogen/clkmgr/rtl/clkmgr_reg_top.sv	no	1671351	12	748323	46589	0
opentitan	breadth	stimuli/sv/subs/opentitan/hw/top_englishbreakfast/ip_autogen/flash_ctrl/dv/env/seq_lib/flash_ctrl_hw_prog_rma_wipe_err_vseq.sv	no	472	10	162	0	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/top_englishbreakfast/ip_autogen/flash_ctrl/rtl/flash_ctrl_core_reg_top.sv	no	9334387	12	4175837	273116	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/top_englishbreakfast/ip_autogen/flash_ctrl/rtl/flash_ctrl_prim_reg_top.sv	no	1622648	12	725277	46116	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/top_englishbreakfast/ip_autogen/pinmux/rtl/pinmux_reg_pkg.sv	yes	3069968	116063	1287723	101390	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/top_englishbreakfast/ip_autogen/pinmux/rtl/pinmux_reg_top.sv	no	31241096	12	13963593	885338	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/top_englishbreakfast/ip_autogen/rv_core_ibex/rtl/rv_core_ibex_cfg_reg_top.sv	no	1366392	12	608039	38387	0
opentitan	hot	stimuli/sv/subs/opentitan/hw/top_englishbreakfast/ip_autogen/rv_plic/rtl/rv_plic_reg_top.sv	no	6320726	12	2832648	185079	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/vendor/lowrisc_ibex/rtl/ibex_alu.sv	no	1814700	6	905689	59953	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/vendor/lowrisc_ibex/rtl/ibex_decoder.sv	no	1329240	9	580591	37297	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/vendor/lowrisc_ibex/rtl/ibex_icache.sv	no	2015148	9	945837	59619	0
opentitan	lr	stimuli/sv/subs/opentitan/hw/vendor/lowrisc_ibex/rtl/ibex_tracer.sv	yes	1698504	57775	739957	48324	16
