class	suite	relpath	verdict	stuck_tick	furthest	stuck	surface	first_tick	last_tick	fail_line	first_tick_line	bytes	snippet
macro_use	verilator	test_regress/t/t_stop_winos_bad.v	STUCK-ON-SVPP-TOKEN	__FILE__	300	301	260	203	301	10	7	518	m string FILENAME = `__FILE__; initial begin $write("Intentional stop\n");
macro_use	verilator	test_regress/t/t_stream2.v	STUCK-ON-SVPP-TOKEN	ifdef	870	871	203	871	1636	36	36	2024	(posedge clk) begin `ifdef TEST_VERBOSE $write("[%0t] cyc==%0d crc=%x result
macro_use	verilator	test_regress/t/t_stream3.v	STUCK-ON-SVPP-TOKEN	ifdef	855	856	432	226	2471	36	8	2509	(posedge clk) begin `ifdef TEST_VERBOSE $write("[%0t] cyc==%0d crc=%x\n", $t
macro_use	verilator	test_regress/t/t_stream_bitqueue.v	STUCK-ON-SVPP-TOKEN	checkh	1392	1399	599	226	16468	41	8	16845	h_back(1'b1); `checkh(bit_q[0], 1'b0); `checkh(bit_q[1], 1'b1);
macro_use	verilator	test_regress/t/t_stream_crc_example.v	STUCK-ON-SVPP-TOKEN	checkh	1277	1282	624	226	2229	48	8	2743	{8'h84, 8'haa}; `checkh(p[0], 8'h84); `checkh(p[1], 8'haa); bits =
macro_use	verilator	test_regress/t/t_stream_dynamic.v	STUCK-ON-SVPP-TOKEN	checkp	1254	1259	735	225	5607	42	8	5778	t{arr}} = bit6; `checkp(arr, "'{'h1, 'h1, 'h1, 'h0, 'h0, 'h0}"); ans = {
macro_use	verilator	test_regress/t/t_stream_queue.v	STUCK-ON-SVPP-TOKEN	checks	1500	1505	386	203	12652	55	7	12782	<<8{byte_pkt}}; `checks(o_char,i_char); byte_pkt = {<<8{i_short}};
macro_use	verilator	test_regress/t/t_stream_struct.v	STUCK-ON-SVPP-TOKEN	ifdef	684	685	203	685	1345	32	32	1702	(posedge clk) begin `ifdef TEST_VERBOSE $write("[%0t] cyc==%0d crc=%x out=%x
macro_use	verilator	test_regress/t/t_stream_type.v	STUCK-ON-SVPP-TOKEN	checkh	701	706	433	226	938	21	8	986	%b", foo0, b); `checkh(b, 1'b0); b = |type(logic [$bits(foo2)-1:0])'({
macro_use	verilator	test_regress/t/t_stream_unpack.v	STUCK-ON-SVPP-TOKEN	checkp	1637	1642	732	225	10668	48	8	10808	{arr}} = bit6; `checkp(arr, "'{'h1, 'h1, 'h1, 'h0, 'h0, 'h0}"); arr =
