edition	rule	bucket	ieee_says	ieee_caption	clause	modelled_in_shipped_grammar	source_md	body
2017	index	system_task_function	not in Annex A	Syntax 21-20	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	decimal_number
2017	input_terms	system_task_function	not in Annex A	Syntax 20-16	20	no	section-20-utility-system-tasks-and-system-functions.md	expression
2017	input_value	system_task_function	not in Annex A	Syntax 21-27	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	D | U | N | Z | d | u
2017	item_name	sv_source_syntax	not in Annex A	Syntax 23-8	23	no	section-23-modules-and-hierarchy.md	function_identifier | block_identifier | net_identifier | parameter_identifier | port_identifier | task_identifier | variable_identifier
2017	keywords_directive	compiler_directive	not in Annex A	Syntax 22-10	22	no	section-22-compiler-directives.md	`begin_keywords "version_specifier"
2017	list_of_actual_arguments	compiler_directive	not in Annex A	Syntax 22-3	22	no	section-22-compiler-directives.md	actual_argument { , actual_argument }
2017	list_of_control_bits	system_task_function	not in Annex A	Syntax 20-9	20	no	section-20-utility-system-tasks-and-system-functions.md	control_bit { , control_bit }
2017	list_of_formal_arguments	compiler_directive	not in Annex A	Syntax 22-2	22	no	section-22-compiler-directives.md	formal_argument { , formal_argument }
2017	list_of_modules_or_variables	system_task_function	not in Annex A	Syntax 21-15	21	no	section-21-input-output-system-tasks-and-system-functions.md	module_or_variable { , module_or_variable }
2017	list_of_scopes_or_assertions	system_task_function	not in Annex A	Syntax 20-12	20	no	section-20-utility-system-tasks-and-system-functions.md	scope_or_assertion { , scope_or_assertion }
2017	load_memory_tasks	system_task_function	not in Annex A	Syntax 21-12	21	no	section-21-input-output-system-tasks-and-system-functions.md	$readmemb ( filename , memory_name [ , start_addr [ , finish_addr ] ] ) ; | $readmemh ( filename , memory_name [ , start_addr [ , finish_addr ] ] ) ;
2017	logic	system_task_function	not in Annex A	Syntax 20-16	20	no	section-20-utility-system-tasks-and-system-functions.md	and | or | nand | nor
2017	lsb_index	system_task_function	not in Annex A	Syntax 21-27	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	index
2017	memory_identifier	system_task_function	not in Annex A	Syntax 20-16	20	no	section-20-utility-system-tasks-and-system-functions.md	identifier
2017	module_or_variable	system_task_function	not in Annex A	Syntax 21-15	21	no	section-21-input-output-system-tasks-and-system-functions.md	module_identifier | variable_identifier
2017	monitor_task_name	system_task_function	not in Annex A	Syntax 21-3	21	no	section-21-input-output-system-tasks-and-system-functions.md	$monitor | $monitorb | $monitoro | $monitorh
2017	monitor_tasks	system_task_function	not in Annex A	Syntax 21-3	21	no	section-21-input-output-system-tasks-and-system-functions.md	monitor_task_name [ ( list_of_arguments ) ] ; | $monitoron ; | $monitoroff ;
2017	msb_index	system_task_function	not in Annex A	Syntax 21-27	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	index
2017	nonfatal_message_task	system_task_function	not in Annex A	Syntax 20-10	20	no	section-20-utility-system-tasks-and-system-functions.md	severity_task [ ( [ list_of_arguments ] ) ] ;
2017	output_terms	system_task_function	not in Annex A	Syntax 20-16	20	no	section-20-utility-system-tasks-and-system-functions.md	variable_lvalue
2017	output_value	system_task_function	not in Annex A	Syntax 21-27	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	L | H | X | T | l | h
2017	pla_system_task	system_task_function	not in Annex A	Syntax 20-16	20	no	section-20-utility-system-tasks-and-system-functions.md	$array_type$logic$format ( memory_identifier , input_terms , output_terms ) ;
2017	port_value	system_task_function	not in Annex A	Syntax 21-27	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	input_value | output_value | unknown_direction_value
2017	pragma	compiler_directive	not in Annex A	Syntax 22-8	22	no	section-22-compiler-directives.md	`pragma pragma_name [ pragma_expression { , pragma_expression } ]
2017	pragma_expression	compiler_directive	not in Annex A	Syntax 22-8	22	no	section-22-compiler-directives.md	pragma_keyword | pragma_keyword = pragma_value | pragma_value
2017	pragma_keyword	compiler_directive	not in Annex A	Syntax 22-8	22	no	section-22-compiler-directives.md	simple_identifier
2017	pragma_name	compiler_directive	not in Annex A	Syntax 22-8	22	no	section-22-compiler-directives.md	simple_identifier
2017	pragma_value	compiler_directive	not in Annex A	Syntax 22-8	22	no	section-22-compiler-directives.md	( pragma_expression { , pragma_expression } ) | number | string | identifier
2017	printtimescale_task	system_task_function	not in Annex A	Syntax 20-3	20	no	section-20-utility-system-tasks-and-system-functions.md	$printtimescale [ ( hierarchical_identifier ) ] ;
2017	random_function	system_task_function	not in Annex A	Syntax 20-14	20	no	section-20-utility-system-tasks-and-system-functions.md	$random [ ( seed ) ]
2017	range_function	system_task_function	not in Annex A	Syntax 20-7	20	no	section-20-utility-system-tasks-and-system-functions.md	$isunbounded ( constant_expression )
2017	reference	system_task_function	not in Annex A	Syntax 21-20	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	identifier | identifier [ bit_select_index ] | identifier [ msb_index : lsb_index ]
2017	sampled_value_function	system_task_function	not in Annex A	Syntax 20-13	20	no	section-20-utility-system-tasks-and-system-functions.md	$sampled ( expression ) | $rose ( expression [ , [ clocking_event ] ] ) | $fell ( expression [ , [ clocking_event ] ] ) | $stable ( expression [ , [ clocking_event ] ] ) | $changed ( expression [ , [ clocking_event ] ] ) | $past ( expressio
2017	scalar_value_change	system_task_function	not in Annex A	Syntax 21-20	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	value identifier_code
2017	scope_identifier	system_task_function	not in Annex A	Syntax 21-20	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	{ ASCII character }
2017	scope_list	system_task_function	not in Annex A	Syntax 21-21	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	module_identifier { , module_identfier }
2017	scope_or_assertion	system_task_function	not in Annex A	Syntax 20-12	20	no	section-20-utility-system-tasks-and-system-functions.md	hierarchical_identifier
2017	scope_randomize	sv_source_syntax	not in Annex A	Syntax 18-11	18	no	section-18-constrained-random-value-generation.md	[ std :: ] randomize ( [ variable_identifier_list ] ) [ with constraint_block ]
